baseobjectIdentifier,blastModified,baselastModifiedBy,basedeleted,baseobjectCreationDateTime,exchangeRateAreaIndetifier,exchangeRateAreaName,exchangeRateAreaStartDate,exchangeRateAreaEndDate,constrainingInsuranceMarketLevelType,ns3objectIdentifier,ns3lastModified,ns3lastModifiedBy,ns3deleted,ns3objectCreationDateTime,ns2referenceTypeName,ns2referenceTypeCode,ns2resourceIdentifier,ns2zipCode,ns2statePostalCode
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1181440,2019-11-26T20:16:41.607-05:00,"",false,2019-11-26T20:16:41.607-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77663,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,540444,2019-11-26T20:16:41.432-05:00,"",false,2019-11-26T20:16:41.432-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77625,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,262780,2019-11-26T20:16:41.559-05:00,"",false,2019-11-26T20:16:41.559-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77657,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,1017796,2019-11-26T20:16:41.173-05:00,"",false,2019-11-26T20:16:41.173-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77585,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,45701,2019-11-26T20:16:39.774-05:00,"",false,2019-11-26T20:16:39.774-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77374,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,844043,2019-11-26T20:16:40.736-05:00,"",false,2019-11-26T20:16:40.736-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77519,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,851210,2019-11-26T20:16:40.968-05:00,"",false,2019-11-26T20:16:40.968-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77564,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,805093,2019-11-26T20:16:39.794-05:00,"",false,2019-11-26T20:16:39.794-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77376,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,847474,2019-11-26T20:16:41.542-05:00,"",false,2019-11-26T20:16:41.542-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77656,48
1248393,2019-12-02T15:06:58.431304-05:00,"",false,2019-11-27T13:32:18.387335-05:00,"",TX004,2014-01-01T00:00:00-05:00,2099-12-31T00:00:00-05:00,<ns2:referenceTypeCode>3</ns2:referenceTypeCode><ns2:referenceTypeCodeName>Combined</ns2:referenceTypeCodeName>,740458,2019-11-26T20:16:41.560-05:00,"",false,2019-11-26T20:16:41.560-05:00,CountyPlace,48199,ffe.county.names.fips.Hardin,77659,48
